name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Central,Rooftop 360',Zen,Canal-View, Bright,Quiet",Centrum-West,Entire home/apt,1.0,1.0,2,7,157.0,135,22,100.0,52.38172,4.8831,0
canal view in Jordaan & 9 Streets,Centrum-West,Entire home/apt,1.0,1.5,2,5,150.0,70,63,97.0,52.37018,4.88209,1
Spacious apartment next to center,De Baarsjes - Oud-West,Entire home/apt,2.0,1.0,3,3,120.0,0,103,95.0,52.36916,4.86643,0
"Pleasant,cosy & crazy apartment with small balcony",De Baarsjes - Oud-West,Entire home/apt,3.0,1.0,6,4,97.0,364,48,96.0,52.36339,4.854019999999999,0
Cosy Apt | IN CITY CENTRE | Close to Artis Zoo,Centrum-Oost,Entire home/apt,1.0,1.0,2,2,159.0,0,139,86.0,52.36208,4.9101,0
Cat lover's paradise in Amsterdam's hottest street,Zuid,Entire home/apt,1.0,1.0,4,2,200.0,355,102,97.0,52.35883,4.86647,0
Authentic Amsterdam apartment RAI,De Pijp - Rivierenbuurt,Entire home/apt,2.0,1.5,3,21,275.0,351,27,89.0,52.34332,4.89484,0
"Central, quiet, design apartment",Oud-Noord,Entire home/apt,2.0,1.0,2,30,125.0,0,15,98.0,52.38624,4.90067,0
Metropolitan B&B centre Amsterdam,Centrum-West,Private room,1.0,1.0,4,2,113.0,194,186,95.0,52.37433,4.892469999999999,1
Private Loft&Bathroom  Ensuite Studio Ctr Amsterda,Centrum-Oost,Private room,1.0,1.0,2,2,72.0,88,598,99.0,52.36057,4.89671,1
The best spot to discover Amsterdam,Centrum-West,Entire home/apt,1.0,1.5,2,3,129.0,0,41,99.0,52.38393,4.89237,0
ART & DESIGN APARTMENT,Westerpark,Entire home/apt,1.0,1.0,3,5,99.0,0,42,96.0,52.38351,4.87573,0
Best Area - Large Luxury 3 Bdr Home,Zuid,Entire home/apt,3.0,1.5,4,3,284.0,0,24,97.0,52.34744,4.86886,0
Nice apt close to Amstel&citycenter,Watergraafsmeer,Private room,1.0,1.0,3,2,50.0,358,183,85.0,52.34961,4.9173800000000005,0
Spacious home w roof garden,De Baarsjes - Oud-West,Entire home/apt,2.0,1.5,4,3,246.0,69,20,96.0,52.36895,4.86452,0
Amsterdam Apartment (waterview),Zuid,Entire home/apt,1.0,1.0,2,2,151.0,0,41,99.0,52.35165,4.8465300000000004,0
LUXURIOUS GUESTHOUSE in CITY CENTER,Centrum-West,Private room,1.0,1.0,3,3,99.0,209,168,96.0,52.37169,4.89446,1
Suite in Canalhouse with Jacuzzi,Centrum-West,Private room,1.0,1.0,2,2,245.0,344,10,100.0,52.36891,4.8897,0
Cosy apartment in West | Quiet street | Netflix,De Baarsjes - Oud-West,Entire home/apt,1.0,1.5,2,3,92.0,0,132,94.0,52.3611,4.8589400000000005,1
Jordaan apt with views of canals and Westerkerk,Centrum-West,Entire home/apt,2.0,1.0,4,14,125.0,0,16,91.0,52.37591,4.87807,0
Sonnenberg - Canal side & view - Private & Central,Centrum-West,Entire home/apt,2.0,1.5,4,2,215.0,97,104,96.0,52.367909999999995,4.88809,1
"LOFT with terrace, super location!",Centrum-West,Entire home/apt,2.0,2.0,4,30,145.0,1,21,98.0,52.36773,4.88983,0
"Bellavista, central,with canal view",De Baarsjes - Oud-West,Private room,1.0,1.5,2,2,122.0,360,343,97.0,52.36707,4.873480000000001,1
Modern studio near central AMS,Oostelijk Havengebied - Indische Buurt,Entire home/apt,1.0,1.0,2,4,79.0,0,102,92.0,52.3661,4.93299,1
Luxurious apartment at the Prinsengracht,Centrum-West,Entire home/apt,1.0,1.0,2,1,449.0,179,13,97.0,52.37231,4.89856,0
Amazing apartment historical centre,Centrum-Oost,Entire home/apt,2.0,2.0,4,4,385.0,365,11,98.0,52.369609999999994,4.90982,0
The Flying Pancake B&B Amsterdam,Centrum-Oost,Private room,1.0,1.0,2,2,149.0,344,81,98.0,52.36513,4.90837,1
Amazing apartment in city center,Centrum-West,Entire home/apt,1.0,1.5,2,3,296.0,347,49,98.0,52.37131,4.88206,0
bed & bike with free parking  the house of finer,Buitenveldert - Zuidas,Private room,2.0,1.0,4,2,125.0,355,90,97.0,52.34393,4.88547,1
Charming Studio with Roof Terrace,Zuid,Private room,1.0,1.0,2,3,88.0,0,113,96.0,52.35519,4.85117,1
"Private, central & luxurious apment",De Baarsjes - Oud-West,Entire home/apt,1.0,1.5,2,2,85.0,9,22,94.0,52.360479999999995,4.86345,0
Quiet room in sunny apartment on canal,Bos en Lommer,Private room,1.0,1.0,2,3,45.0,7,220,98.0,52.37745,4.85994,1
Cozy sleeping in popular Amsterdam West,Bos en Lommer,Entire home/apt,1.0,1.0,2,2,125.0,89,43,97.0,52.37843,4.85484,0
nice apartment in centre amsterdam,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,4,125.0,0,20,98.0,52.3583,4.85909,0
5-bedrooms house; central location,Zuid,Entire home/apt,5.0,1.5,12,2,650.0,269,109,90.0,52.35353,4.87514,0
"Center,Canal View, Private Bathroom",Centrum-West,Private room,1.0,1.0,2,3,78.0,306,280,98.0,52.375609999999995,4.9,1
"Center, Large&Sunny Room,Pvt Bathrm",Centrum-West,Private room,1.0,1.0,2,3,78.0,1,324,97.0,52.375609999999995,4.9,1
Sunny Apartment along river IJ,Oud-Noord,Private room,1.0,1.0,2,7,115.0,358,25,95.0,52.38171,4.9144,0
Modern apartment + rooftop terrace @city centre,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,5,195.0,49,90,97.0,52.35755,4.90144,0
Cosy apartment in charming Jordaan,Centrum-West,Entire home/apt,1.0,1.0,4,3,125.0,0,83,96.0,52.37154,4.87596,0
Sunny family flat in the Jordaan!,Centrum-West,Entire home/apt,2.0,1.0,5,5,112.0,0,14,97.0,52.37997,4.88707,0
Quiet studio in the heart of town with Garden!,Centrum-West,Entire home/apt,1.0,1.5,2,2,51.0,327,101,94.0,52.37075,4.897869999999999,0
Unique Beautiful Houseboat (ship) in Center,Centrum-Oost,Entire home/apt,1.0,1.0,2,3,95.0,0,52,91.0,52.36377,4.91831,0
Smack dab middle of Amsterdam,Centrum-West,Entire home/apt,1.0,1.0,3,2,135.0,132,89,94.0,52.370940000000004,4.87654,0
