name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Spacious Family Home-Great Location,Buitenveldert - Zuidas,Entire home/apt,2.0,1.0,4,4,125.0,0,44,97.0,52.331559999999996,4.8863199999999996,0
5 ★ Boutique | UNIQUE ROOFTOP GARDEN | 120M2  | Private,De Pijp - Rivierenbuurt,Entire home/apt,3.0,2.0,4,1,109.0,122,55,90.0,52.35565,4.89895,0
C,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,2,4.0,0,14,97.0,52.35491,4.88769,0
Large Westerpark Family Home (2 Floors + Rooftop),Westerpark,Entire home/apt,2.0,1.5,4,6,149.0,3,17,99.0,52.3822,4.87231,0
Flowery balcony with apartment in Ams. West.,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,3,95.0,0,31,93.0,52.363609999999994,4.85233,0
Quiet Home In The Heart Of The City,De Baarsjes - Oud-West,Entire home/apt,3.0,1.5,4,5,249.0,0,15,97.0,52.36385,4.87812,0
Amazing light and cosy interior!,Oostelijk Havengebied - Indische Buurt,Entire home/apt,1.0,1.0,3,2,99.0,41,13,92.0,52.36385,4.9417599999999995,0
Complete and modern apartment,Centrum-Oost,Entire home/apt,1.0,1.0,2,2,140.0,0,13,97.0,52.361740000000005,4.89902,0
Renovated apartment in upcoming Oud-West,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,4,2,95.0,365,77,96.0,52.37198,4.85005,0
Quiet Baarsjes apartment near cat cafe,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,2,166.0,0,31,94.0,52.36943,4.85405,0
Bright & spacious family house with big garden,Bos en Lommer,Entire home/apt,4.0,1.5,4,2,119.0,3,29,90.0,52.37968,4.85696,0
Creative bright space with spacious Terrace 🌱,Bos en Lommer,Entire home/apt,1.0,1.5,2,2,85.0,0,50,97.0,52.38061,4.85554,1
At The Canal Spacious And Beautiful,Centrum-Oost,Entire home/apt,1.0,1.0,2,4,164.0,0,32,99.0,52.36963,4.89813,0
House with garden and 3 bedrooms,Slotervaart,Entire home/apt,2.0,1.0,4,3,140.0,0,48,94.0,52.36179,4.82195,0
lovely family home near city centre,Oud-Noord,Entire home/apt,3.0,1.0,4,4,120.0,0,14,97.0,52.3911,4.94349,0
Spacious apartment in quiet area,Geuzenveld - Slotermeer,Entire home/apt,2.0,1.0,3,2,120.0,11,29,92.0,52.38114,4.81891,0
Well Connected Modern Apartment in Pijp,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,2,110.0,0,18,88.0,52.35785,4.8997,0
Private room in sunny houseboat!,De Baarsjes - Oud-West,Private room,1.0,1.0,2,2,67.0,168,237,96.0,52.36894,4.87169,1
Beautiful 2-storey apt. Vondelpark,De Baarsjes - Oud-West,Entire home/apt,3.0,2.0,6,3,340.0,137,114,98.0,52.36092,4.86608,1
Apt.(55m2)classic city souterrain inc breakfast,Zuid,Entire home/apt,2.0,1.0,4,2,300.0,365,151,97.0,52.3511,4.85915,1
Cozy stylish apartment in Centre,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,2,110.0,0,24,87.0,52.36681,4.8731599999999995,0
"Spacious family home, close to the ZOO and centre",Oostelijk Havengebied - Indische Buurt,Entire home/apt,3.0,1.5,4,3,90.0,0,14,96.0,52.37154,4.93735,0
Trendy area in district Baarsjes.,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,3,121.0,267,52,95.0,52.37294,4.85608,0
Three floors spacious family-appartment in de Pijp,De Pijp - Rivierenbuurt,Entire home/apt,4.0,1.0,5,4,279.0,0,16,98.0,52.3525,4.89168,0
Canal View bed-no-breakfast,Centrum-Oost,Entire home/apt,1.0,1.0,2,5,140.0,361,137,98.0,52.370459999999994,4.91136,1
"Awesome home, convenient location.",Oud-Oost,Entire home/apt,1.0,1.0,2,3,180.0,364,12,87.0,52.35642,4.91326,0
Spacious and light private apt,Centrum-Oost,Entire home/apt,1.0,1.0,2,2,165.0,0,48,95.0,52.36472,4.91057,0
"Central, spacious 2 bedroom apartment with airco!",De Pijp - Rivierenbuurt,Entire home/apt,2.0,1.5,4,3,245.0,0,15,96.0,52.35562,4.89087,0
quiet city centre apartment,Westerpark,Entire home/apt,1.0,1.0,2,2,129.0,0,50,96.0,52.38988,4.88739,0
Nice charming house with garden,Oud-Noord,Entire home/apt,2.0,1.0,4,3,175.0,0,52,94.0,52.395270000000004,4.91633,0
Stylish loft with roof terrace,Watergraafsmeer,Entire home/apt,3.0,1.0,4,2,245.0,253,44,98.0,52.35605,4.93224,1
DESIGNER LOFT CITY CENTRE AMSTERDAM,De Baarsjes - Oud-West,Entire home/apt,3.0,1.0,4,1,629.0,88,18,97.0,52.368790000000004,4.867030000000001,0
Open light children paradise,Zuid,Entire home/apt,2.0,1.0,4,3,135.0,0,18,95.0,52.349709999999995,4.86085,0
"House with garden and cat, 15 min downtown.",Noord-West,Entire home/apt,3.0,2.5,4,2,77.0,0,34,98.0,52.4142,4.88427,0
"Close to the Amstel, pleasant house",Oud-Oost,Entire home/apt,1.0,1.0,1,5,89.0,364,31,95.0,52.35226,4.9113,0
Groundfloor apartment with garden,De Baarsjes - Oud-West,Entire home/apt,2.0,1.5,3,7,140.0,0,24,98.0,52.36003,4.85879,0
"Cozy place, heart A'dam 1-4 pers",De Baarsjes - Oud-West,Private room,2.0,1.0,4,1,51.0,365,69,93.0,52.36874,4.84888,0
Canal view apartment,Westerpark,Entire home/apt,1.0,1.0,2,2,200.0,364,50,96.0,52.38942,4.88422,0
Spacious apt. in Amsterdam East,Oud-Oost,Entire home/apt,1.0,1.0,2,2,86.0,0,16,99.0,52.36353,4.92753,0
Design Loft in the center of Amsterdam - Jordaan,Centrum-West,Entire home/apt,1.0,1.5,2,2,220.0,140,47,93.0,52.36786,4.8802,0
Great apartment with private garden,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,2,110.0,0,15,100.0,52.3676,4.86524,0
Romantic apartment near Vondelpark,Zuid,Entire home/apt,1.0,1.0,2,4,100.0,0,25,98.0,52.35196,4.85539,0
Monumental and cosy design appt!,Centrum-West,Entire home/apt,2.0,1.0,4,2,165.0,0,49,95.0,52.37304,4.87638,1
Beautiful one bedroom apartment!,Oud-Oost,Entire home/apt,1.0,1.0,2,2,120.0,50,32,99.0,52.36391,4.92561,0
Big family house next to Vondelpark/Museum Quarter,Zuid,Entire home/apt,4.0,2.0,6,2,499.0,0,28,96.0,52.35503,4.86955,0
gerenoveerd woonschip-tjalk (1908) boat,Noord-Oost,Entire home/apt,3.0,1.0,4,3,119.0,120,30,98.0,52.38178,4.96555,1
Light & bright canal view apartment,Centrum-West,Entire home/apt,1.0,1.0,3,2,109.0,0,19,86.0,52.37234,4.87449,0
Lovely apartment in Adam oud west,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,2,79.0,345,67,89.0,52.36538,4.86228,0
Modern and spacious houseboat,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,4,240.0,74,64,100.0,52.36974,4.87067,1
Very light house on top location,Centrum-West,Entire home/apt,3.0,1.0,5,3,350.0,0,20,100.0,52.38236,4.88675,0
"Extremely light, with canal view",De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,3,109.0,339,68,97.0,52.37272,4.85602,0
beautiful houseboat in the center,Centrum-West,Entire home/apt,1.0,1.0,2,3,279.0,0,77,100.0,52.37855,4.88678,1
Quiet place in the ring of canals,Centrum-West,Entire home/apt,1.0,1.0,2,4,157.0,40,20,94.0,52.37574,4.8905400000000006,0
Cute apartment in the city center aka De Pijp,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,2,120.0,365,52,93.0,52.356840000000005,4.8966,0
,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,3,100.0,0,18,94.0,52.36705,4.85508,0
Lovely loft with roofterras near Albert Cuyp/RAI,De Pijp - Rivierenbuurt,Entire home/apt,4.0,2.0,6,2,279.0,245,102,97.0,52.35135,4.88899,1
Beautiful apartment City Centre (Rembrandtplein),Centrum-Oost,Entire home/apt,2.0,1.0,4,3,250.0,0,10,96.0,52.36739,4.89659,0
On the corner of Prinsengracht,Centrum-West,Entire home/apt,1.0,1.0,3,3,130.0,0,13,96.0,52.373909999999995,4.88141,0
Central & cosy 55m2 ap. with balcony ideal for 2,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,10,105.0,0,13,95.0,52.343379999999996,4.91031,0
Beautiful room with balcony,De Baarsjes - Oud-West,Private room,1.0,1.0,2,3,81.0,356,272,96.0,52.371159999999996,4.86627,1
Modern family house in the centre!,Centrum-West,Entire home/apt,4.0,0.0,4,3,250.0,0,20,97.0,52.37003,4.87864,0
Beautiful 2 bedr apt in citycenter,Oud-Oost,Entire home/apt,2.0,1.0,4,4,176.0,0,58,92.0,52.35399,4.908980000000001,0
Appartment near parcs and center,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,5,129.0,0,24,97.0,52.36388,4.85461,0
NEW: Cosy apartment with big garden,De Pijp - Rivierenbuurt,Entire home/apt,3.0,1.5,2,5,125.0,0,10,100.0,52.34879,4.88761,0
Beautiful house with roofterrace,Zuid,Entire home/apt,4.0,2.0,4,3,250.0,325,34,97.0,52.35322,4.8674,0
New apartment in Amsterdam,De Baarsjes - Oud-West,Entire home/apt,1.0,1.5,2,2,161.0,0,26,98.0,52.3638,4.8764199999999995,0
Great apartment near Vondelpark,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,3,115.0,0,12,93.0,52.35881,4.8543,0
Apartment in Old Pipe district,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,3,132.0,0,37,94.0,52.35785,4.88802,0
Relaxing Twin Room with Canal View!,Centrum-West,Private room,1.0,1.0,2,2,79.0,0,46,94.0,52.376290000000004,4.89173,0
"Big, sunny apt, central to all!",De Baarsjes - Oud-West,Entire home/apt,1.0,1.5,4,5,160.0,364,17,89.0,52.36123,4.87478,0
Marvelous Museumquarter Apartment,Centrum-West,Entire home/apt,1.0,1.0,4,2,195.0,365,42,95.0,52.36829,4.89128,0
Apt with canal view (Vondelpark),Zuid,Entire home/apt,1.0,1.0,2,3,123.0,133,27,95.0,52.35259,4.85464,0
Charming room in Amsterdam,De Pijp - Rivierenbuurt,Private room,1.0,1.0,1,1,100.0,89,16,89.0,52.355509999999995,4.893269999999999,1
Living the Amsterdam life,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,2,150.0,0,21,97.0,52.355259999999994,4.892580000000001,0
Vibrant and hip Amsterdam appartment,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,3,180.0,0,27,93.0,52.35237,4.890630000000001,0
A ROOM WITH A VIEW (OVER THE WATER),Noord-West,Private room,1.0,1.0,1,2,60.0,262,50,99.0,52.4038,4.90115,1
Spacious loft with terrace in Jordaan,Centrum-West,Entire home/apt,3.0,1.0,4,3,500.0,0,14,97.0,52.37057,4.88207,0
"spacious, light, modern apartment",Bos en Lommer,Entire home/apt,2.0,1.0,3,2,160.0,365,28,91.0,52.376459999999994,4.84793,0
"Spacious, hotel-comfort apartment",De Baarsjes - Oud-West,Entire home/apt,3.0,1.0,6,222,300.0,88,15,97.0,52.36381,4.85792,0
Perfect house boat in Amsterdam,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,3,270.0,1,63,98.0,52.37025,4.872240000000001,0
Beautiful Houseboat wth Lush Garden (4 bikes incl),Noord-West,Entire home/apt,2.0,1.5,4,3,110.0,0,12,95.0,52.3995,4.9219800000000005,0
Canal View apartment in City Centre,Centrum-Oost,Entire home/apt,2.0,1.0,3,7,85.0,328,118,92.0,52.36244,4.89801,0
Private room with bathroom,Oud-Oost,Private room,1.0,1.0,1,1,64.0,316,420,97.0,52.353429999999996,4.9195,1
Family house (6 persons) Amsterdam,IJburg - Zeeburgereiland,Entire home/apt,4.0,1.0,6,3,170.0,40,15,99.0,52.35032,5.00061,0
Cosy light apartment @ Amstel River,Oud-Oost,Entire home/apt,1.0,1.0,2,5,180.0,1,28,97.0,52.35177,4.91153,0
Luxurious apartment for 4 & stunning view balcony,Bos en Lommer,Entire home/apt,2.0,1.0,4,4,225.0,1,25,95.0,52.381640000000004,4.85407,0
Family friendly apartment for cat lovers in East,Oostelijk Havengebied - Indische Buurt,Entire home/apt,2.0,1.0,4,2,80.0,289,18,100.0,52.36303,4.9421,0
Authentic Canal House Prinsengracht,Centrum-West,Entire home/apt,1.0,1.0,2,3,169.0,180,28,95.0,52.36673,4.88312,0
Lovely Renovated Spacious apartment Albert Cuyp,De Pijp - Rivierenbuurt,Entire home/apt,2.0,2.0,4,3,210.0,0,27,98.0,52.35044,4.88822,0
Cosy groundfloor apartment in a Hip Area + 2 Bikes,Oostelijk Havengebied - Indische Buurt,Entire home/apt,1.0,1.0,2,3,79.0,0,16,97.0,52.36591,4.93899,0
"Spacious home, rooftop, lively area, near center",De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,3,110.0,0,17,99.0,52.37191,4.847919999999999,0
Lovely private apartment in Oost,Oud-Oost,Entire home/apt,2.0,1.0,4,5,100.0,0,14,97.0,52.355959999999996,4.9196599999999995,0
For families only: Family house close to NDSM,Noord-West,Entire home/apt,2.0,1.0,4,2,78.0,0,18,98.0,52.41468,4.88159,0
Cool apartment in nice area,Westerpark,Entire home/apt,1.0,1.0,2,4,90.0,0,17,98.0,52.38863,4.8758300000000006,0
Design Loft 600m from Vondelpark -> ONLY FAMILIES,Zuid,Entire home/apt,3.0,1.5,5,7,333.0,363,10,96.0,52.354409999999994,4.85112,0
Original 90m2 Appt balcony&terrace,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,3,2,150.0,0,32,96.0,52.34077,4.90503,0
2 bedroom apartment in Amsterdam,Centrum-West,Entire home/apt,2.0,1.0,4,2,278.0,0,20,96.0,52.375609999999995,4.90008,0
Monumental house in the Jordaan,Centrum-West,Entire home/apt,2.0,1.0,4,3,350.0,0,21,97.0,52.378640000000004,4.88542,0
5 * penthouse with canal view,Centrum-Oost,Entire home/apt,1.0,1.0,2,30,399.0,365,21,93.0,52.36464,4.8882900000000005,0
Charmant appartement Amsterdam,Westerpark,Entire home/apt,1.0,1.0,2,2,75.0,14,93,96.0,52.37978,4.86519,0
De Pijp Central Apartment with Garden,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,2,150.0,365,22,99.0,52.35644,4.89255,0
Family Amsterdam house w. rooftop terrace (kids!),Watergraafsmeer,Entire home/apt,2.0,1.0,4,3,166.0,178,19,97.0,52.35171,4.93785,0
"Bright, cosy house in the center with canal view",Centrum-West,Entire home/apt,1.0,1.5,4,4,189.0,0,25,98.0,52.372690000000006,4.88662,1
Lovely spacious aprt in center,Zuid,Entire home/apt,1.0,1.5,2,2,90.0,0,42,93.0,52.35703,4.85224,0
Cosy appartment nearby Jordaan,Westerpark,Entire home/apt,1.0,1.0,2,2,99.0,0,10,84.0,52.37659,4.874969999999999,0
Sunny garden near center,Westerpark,Entire home/apt,2.0,1.0,4,2,165.0,4,15,94.0,52.38944,4.8807,0
Bright & Spacious Apt | SUNNY GARDEN,De Baarsjes - Oud-West,Entire home/apt,1.0,1.5,3,4,190.0,0,23,98.0,52.37267,4.8509199999999995,0
Fantastic and central apartment,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,3,110.0,0,29,95.0,52.35273,4.89961,0
Grande Canal Penthouse,Centrum-West,Entire home/apt,1.0,1.5,2,2,250.0,0,13,93.0,52.36906,4.88525,0
Light garden room,De Baarsjes - Oud-West,Private room,1.0,1.0,2,10,55.0,0,16,84.0,52.36541,4.851780000000001,0
"Big, bright room; privat bathroom &entrance",Noord-West,Private room,1.0,1.0,4,2,48.0,0,264,98.0,52.42512,4.88842,1
"Modern, comfortable appartment in Center",Westerpark,Entire home/apt,2.0,1.0,2,2,111.0,0,10,92.0,52.38024,4.87068,0
Beautiful room @ exciting Amsterdam,Watergraafsmeer,Private room,1.0,1.0,2,1,50.0,364,18,98.0,52.35568,4.93185,0
Modern two storey family apartment,Westerpark,Entire home/apt,2.0,1.0,4,4,169.0,0,10,100.0,52.38235,4.873480000000001,0
"Bright room, green park, arty flat!",Bijlmer-Oost,Private room,1.0,1.0,4,1,50.0,0,84,92.0,52.324659999999994,4.974469999999999,0
Luxurious loft 100m fr Rijks museum,Centrum-Oost,Entire home/apt,2.0,1.5,3,2,550.0,364,33,97.0,52.36459,4.8855900000000005,0
Cosy and stylish apartment in the De Baarsjes area,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,4,120.0,0,15,97.0,52.37028,4.85112,0
Bright modern apartment in old-west-great location,De Baarsjes - Oud-West,Entire home/apt,1.0,1.5,2,4,120.0,0,62,95.0,52.36586,4.87627,0
Your  waggon at the cows paradise,Noord-Oost,Private room,1.0,1.0,4,2,74.0,214,79,92.0,52.40744,4.99579,0
Modern family apartment close to centre,Westerpark,Entire home/apt,3.0,1.0,3,3,179.0,0,16,100.0,52.382670000000005,4.87944,0
Family Loft with Canalview Center,Centrum-West,Entire home/apt,2.0,1.5,4,2,350.0,269,16,99.0,52.38728,4.88526,0
Lovely apartment - just renovated!,Oud-Oost,Entire home/apt,2.0,2.0,4,2,195.0,0,42,98.0,52.36352,4.92794,0
Super nice Amsterdam apartment,Zuid,Entire home/apt,1.0,1.0,2,3,120.0,0,53,97.0,52.35112,4.85595,0
Between Amsterdam and Schiphol,De Aker - Nieuw Sloten,Entire home/apt,3.0,2.0,5,2,140.0,0,21,96.0,52.34851,4.784,0
Cosy apartment in heart of AMS,Centrum-West,Entire home/apt,1.0,1.0,2,3,140.0,0,22,98.0,52.37693,4.88253,0
Art & Bright Apt in Amsterdam South,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,3,1,85.0,0,17,96.0,52.342420000000004,4.90257,0
Cozy apartment in amazing 'de Pijp',De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,4,4,190.0,0,20,93.0,52.35298,4.89238,0
Luxurious Appartment in Pijp Area,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,1,139.0,0,45,96.0,52.351929999999996,4.88793,0
"Spacious Apartment, great garden",Watergraafsmeer,Entire home/apt,2.0,1.0,2,1,225.0,365,58,91.0,52.34837,4.91331,0
Amsterdam City Appartment with breathtaking view,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,3,200.0,0,11,100.0,52.34695,4.90174,0
"Clean, Quiet Lovers Retreat Garden View",De Pijp - Rivierenbuurt,Private room,1.0,1.0,2,1,39.0,0,505,97.0,52.35698,4.90015,1
Special Offer!!! Cozy family home.,Geuzenveld - Slotermeer,Entire home/apt,3.0,1.5,5,3,79.0,0,22,95.0,52.38332,4.81569,0
Beautiful 2BR in city center,Westerpark,Entire home/apt,2.0,1.0,3,4,180.0,0,25,97.0,52.37678,4.87017,0
Charming Apartment Absolutely Central,Centrum-West,Entire home/apt,1.0,1.0,2,3,134.0,0,28,98.0,52.37571,4.89302,0
Modern apartment in Oud-West,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,1,109.0,0,39,98.0,52.364779999999996,4.86192,1
Independent Apartment in centre,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,1,20,90.0,365,86,89.0,52.36851,4.87403,1
app. in upcoming neigbourhood,Bos en Lommer,Entire home/apt,1.0,1.0,4,3,120.0,0,16,90.0,52.37899,4.84764,0
"Nice studio, in trendy area",De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,3,100.0,0,14,85.0,52.355979999999995,4.892930000000001,0
"Calm, spacious room in vibrant area",Oostelijk Havengebied - Indische Buurt,Private room,1.0,1.0,2,1,79.0,133,125,96.0,52.363820000000004,4.94345,0
Lovely Apartment in De Jordaan,Westerpark,Entire home/apt,1.0,1.0,4,2,139.0,0,43,95.0,52.375440000000005,4.87641,0
Great apartment with roof terrace!,Bos en Lommer,Entire home/apt,1.0,1.5,2,2,100.0,0,24,98.0,52.37551,4.857419999999999,0
"Sunny room, 5-minute walk to the city centre",Westerpark,Private room,1.0,1.0,2,1,88.0,0,25,96.0,52.37794,4.87244,0
Authentic private Jordaan Suite in Canal House,Centrum-West,Entire home/apt,1.0,1.0,2,1,111.0,159,261,89.0,52.37487,4.8794900000000005,0
Charming garden apartment,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,5,159.0,0,10,96.0,52.361979999999996,4.86485,0
Top studio with garden & inhouse parking,De Baarsjes - Oud-West,Private room,1.0,1.0,2,3,156.0,364,73,98.0,52.36626,4.874630000000001,1
Room in brand new industrial houseboat,Centrum-Oost,Private room,1.0,1.5,2,3,125.0,181,91,99.0,52.37538,4.91525,1
HOUSEBOAT 'Con Amore' in the heart of Amsterdam,Centrum-Oost,Entire home/apt,2.0,1.0,4,2,339.0,0,45,99.0,52.36753,4.89845,0
City Center Design Loft,Centrum-West,Entire home/apt,1.0,1.0,2,3,150.0,49,39,93.0,52.369279999999996,4.88026,0
Luxury Houseboat Central  Amsterdam,Centrum-Oost,Entire home/apt,2.0,1.0,4,4,331.0,284,44,98.0,52.37681,4.90522,1
Nice apartment very central!,Centrum-Oost,Entire home/apt,1.0,1.0,2,2,100.0,0,37,86.0,52.37035,4.9162099999999995,0
Room in a spacious flat with a balcony & a garden,Noord-West,Private room,1.0,1.0,2,2,45.0,0,58,89.0,52.40421,4.90805,0
Private room in center of Amsterdam,De Pijp - Rivierenbuurt,Private room,1.0,0.0,2,4,82.0,0,15,89.0,52.3575,4.89431,0
"Comfortable, cozy double room",Oud-Oost,Private room,1.0,1.0,2,4,60.0,101,56,98.0,52.35524,4.92422,0
Charming home center of Amsterdam,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,3,2,160.0,90,40,93.0,52.353629999999995,4.88971,1
Luxurious spacious Appartment Amsterdam East,Oostelijk Havengebied - Indische Buurt,Entire home/apt,1.0,1.0,2,4,80.0,0,11,98.0,52.36104,4.9439,0
Charming Amsterdam North,Oud-Noord,Entire home/apt,2.0,1.0,2,2,150.0,42,16,95.0,52.3911,4.91282,1
Cozy Dutch House with Garden,Westerpark,Private room,1.0,1.0,2,2,101.0,0,10,94.0,52.380320000000005,4.877730000000001,0
Homely appartment with cosy garden,Bos en Lommer,Entire home/apt,2.0,1.0,3,3,179.0,0,54,97.0,52.38258,4.85036,0
Beautiful room in Amsterdam,Bos en Lommer,Private room,1.0,1.0,2,2,65.0,0,14,93.0,52.38105,4.85149,0
"Clean, Quiet, Lovers Retreat",De Pijp - Rivierenbuurt,Private room,1.0,1.0,2,1,42.0,0,594,97.0,52.35492,4.89865,1
Bright comfi apartment + WIFI,Watergraafsmeer,Entire home/apt,1.0,1.5,4,2,136.0,0,37,89.0,52.35423,4.92884,0
Apartment close to Vondelpark!,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,3,175.0,0,10,94.0,52.35846,4.85696,0
Amsterdam Chique,Oud-Oost,Entire home/apt,1.0,1.0,3,7,138.0,0,14,92.0,52.355540000000005,4.92621,0
in the street,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,4,83.0,0,17,95.0,52.35321,4.8901900000000005,0
Bright canal apt. in centre Amsterdam.,Centrum-Oost,Entire home/apt,1.0,1.0,2,5,149.0,2,14,99.0,52.36319,4.8975,0
Amazing house+garden in the CITY,Zuid,Entire home/apt,2.0,1.5,6,2,300.0,0,23,97.0,52.3506,4.85147,0
Great 4P apartment | Lovely neighborhood | Terrace,Westerpark,Entire home/apt,2.0,1.0,4,2,189.0,0,36,94.0,52.375409999999995,4.87493,1
"Nearby centre, next to park, with skyline views",Westerpark,Entire home/apt,2.0,1.5,4,4,160.0,0,26,98.0,52.3849,4.86817,0
Amsterdam Center HouseBoat Caro,Centrum-Oost,Entire home/apt,2.0,1.0,4,4,350.0,97,66,97.0,52.374759999999995,4.90434,1
Fresh appartment near Centre,Westerpark,Entire home/apt,1.0,1.0,2,2,120.0,0,25,94.0,52.38332,4.87256,0
Private room near Amsterdam Rai,Buitenveldert - Zuidas,Private room,1.0,1.5,2,1,92.0,90,39,95.0,52.32546,4.88764,0
Lovely apartment with garden in 'the Pijp',De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,6,100.0,0,18,98.0,52.35174,4.9025,0
Central canal house-great location!,Centrum-West,Entire home/apt,2.0,3.0,6,2,229.0,180,148,94.0,52.3686,4.87854,0
Spacious child-proof house/garden FREE PARKING,Oud-Noord,Entire home/apt,2.0,1.0,2,2,125.0,0,30,91.0,52.39249,4.94232,0
Beautiful apartment 10 min from CS.,Oud-Noord,Entire home/apt,1.0,1.0,2,6,139.0,0,13,97.0,52.388040000000004,4.91863,0
Bright city center apt with terrace,Centrum-West,Entire home/apt,1.0,1.0,2,2,120.0,39,34,98.0,52.374520000000004,4.89761,0
Amazing home with garden next Van Gogh Museum,Zuid,Entire home/apt,1.0,1.0,2,2,280.0,0,21,94.0,52.357040000000005,4.87908,0
"Modern apartment with Spa, Pool, Sauna and Gym",Centrum-Oost,Entire home/apt,1.0,1.5,2,2,210.0,0,14,96.0,52.37012,4.90573,0
Sunny and spacious apartment 80m2 Amsterdam Oost,Oostelijk Havengebied - Indische Buurt,Entire home/apt,2.0,1.5,4,2,99.0,0,20,98.0,52.36374,4.94329,0
Penthouse on the Amstel,Watergraafsmeer,Entire home/apt,3.0,2.5,4,3,300.0,0,30,85.0,52.340379999999996,4.91892,0
Stylish place next to Rijksmuseum!,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.5,2,3,155.0,0,35,99.0,52.35836,4.8886400000000005,0
Awesome family apartment in booming area,De Baarsjes - Oud-West,Entire home/apt,4.0,1.0,5,3,231.0,0,30,95.0,52.36967,4.86859,0
Great location + rooftop terrace,De Pijp - Rivierenbuurt,Entire home/apt,2.0,1.0,4,3,300.0,0,12,98.0,52.35393,4.88968,0
Room in Amsterdam IJburg,IJburg - Zeeburgereiland,Private room,1.0,1.5,1,180,45.0,204,333,95.0,52.35437,4.9975,1
"Cozy studio, perfect location!",Westerpark,Entire home/apt,1.0,1.0,2,2,90.0,0,18,93.0,52.37487,4.87326,0
Lovely Apartment in Trendy Area,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,3,85.0,0,14,93.0,52.37193,4.85918,0
Modern & sunny apartment in Centre,Centrum-Oost,Entire home/apt,3.0,2.5,4,7,175.0,23,21,99.0,52.36847,4.928380000000001,0
family apartment close to Amsterdam city center,Slotervaart,Entire home/apt,2.0,1.5,4,4,130.0,0,10,100.0,52.36371,4.83881,0
Sunny apartment next to Vondelpark,Zuid,Entire home/apt,1.0,1.0,2,2,155.0,0,25,96.0,52.35309,4.8536,0
Large family house with big garden,De Baarsjes - Oud-West,Entire home/apt,3.0,1.0,6,3,210.0,0,43,98.0,52.37082,4.8583,0
"Canal view apartment in Center West, de Baarsjes",De Baarsjes - Oud-West,Entire home/apt,1.0,1.5,2,2,89.0,0,14,96.0,52.37102,4.85725,0
Modern Cosy and light apartment in city center,De Baarsjes - Oud-West,Entire home/apt,2.0,1.0,4,100,134.0,362,19,95.0,52.37194,4.85807,0
"Sunny, luxury and cosy in centre",De Pijp - Rivierenbuurt,Entire home/apt,2.0,1.0,4,4,195.0,0,11,93.0,52.35426,4.88889,0
Nice apartment with balcony and Whirlpool,De Baarsjes - Oud-West,Entire home/apt,1.0,1.5,2,3,220.0,364,31,95.0,52.37236,4.85056,0
Comfortable appartment,Oostelijk Havengebied - Indische Buurt,Entire home/apt,1.0,1.0,2,2,125.0,364,27,96.0,52.36376,4.9336,0
